athlete_name,sport,wiki_name,month,sport_type
ABAD Nestor,artistic-gymnastics,Nestor_Abad,3,individual
ABBADINI Yumin,artistic-gymnastics,Yumin_Abbadini,5,individual
ABDURAKHIMOV Rasuljon,artistic-gymnastics,Rasuljon_Abdurakhimov,10,individual
AIT SAID Samir,artistic-gymnastics,Samir_Ait_Said,11,individual
ANDRADE Rebeca,artistic-gymnastics,Rebeca_Andrade,5,individual
ANDREOLI Angela,artistic-gymnastics,Angela_Andreoli,6,individual
ARICAN Ferhat,artistic-gymnastics,Ferhat_Arican,7,individual
ARTAMONOVA Sona,artistic-gymnastics,Sona_Artamonova,10,individual
ASIL Adem,artistic-gymnastics,Adem_Asil,2,individual
AZIMOV Abdulla,artistic-gymnastics,Abdulla_Azimov,3,individual
BARAJAS Angel,artistic-gymnastics,Angel_Barajas,8,individual
BARBOSA Jade,artistic-gymnastics,Jade_Barbosa,7,individual
BARBOSU Ana,artistic-gymnastics,Ana_Barbosu,7,individual
BARTOLINI Nicola,artistic-gymnastics,Nicola_Bartolini,2,individual
BENOVIC Aurel,artistic-gymnastics,Aurel_Benovic,7,individual
BICKEL Lena,artistic-gymnastics,Lena_Bickel,12,individual
BILES Simone,artistic-gymnastics,Simone_Biles,3,individual
BLACK Elsabeth,artistic-gymnastics,Elsabeth_Black,9,individual
BLANCO Luisa,artistic-gymnastics,Luisa_Blanco,11,individual
BOYER Marine,artistic-gymnastics,Marine_Boyer,5,individual
BRASSART Maellyse,artistic-gymnastics,Maellyse_Brassart,6,individual
BRENDEL Pascal,artistic-gymnastics,Pascal_Brendel,9,individual
BROWN Georgia-Rose,artistic-gymnastics,Georgia-Rose_Brown,1,individual
BROWN Lynnzee,artistic-gymnastics,Lynnzee_Brown,9,individual
CAREY Jade,artistic-gymnastics,Jade_Carey,5,individual
CASABUENA Laura,artistic-gymnastics,Laura_Casabuena,12,individual
CASALI Lorenzo Minh,artistic-gymnastics,Lorenzo_Minh_Casali,9,individual
CHEPURNYI Nazar,artistic-gymnastics,Nazar_Chepurnyi,9,individual
CHILES Jordan,artistic-gymnastics,Jordan_Chiles,4,individual
CLAY Zachary,artistic-gymnastics,Zachary_Clay,7,individual
COSMAN Lilia,artistic-gymnastics,Lilia_Cosman,8,individual
COURNOYER Rene,artistic-gymnastics,Rene_Cournoyer,4,individual
CUYLE Glen,artistic-gymnastics,Glen_Cuyle,7,individual
CZIFRA Bettina Lili,artistic-gymnastics,Bettina_Lili_Czifra,4,individual
D'AMATO Alice,artistic-gymnastics,Alice_D'Amato,2,individual
DAUSER Lukas,artistic-gymnastics,Lukas_Dauser,6,individual
DAVTYAN Artur,artistic-gymnastics,Artur_Davtyan,8,individual
DERWAEL Nina,artistic-gymnastics,Nina_Derwael,3,individual
DEVILLARD Coline,artistic-gymnastics,Coline_Devillard,10,individual
DIALLO Thierno,artistic-gymnastics,Thierno_Diallo,11,individual
DODANLI Emre,artistic-gymnastics,Emre_Dodanli,10,individual
DOLCI Felix,artistic-gymnastics,Felix_Dolci,5,individual
DOLGOPYAT Artem,artistic-gymnastics,Artem_Dolgopyat,6,individual
DOWNIE Rebecca,artistic-gymnastics,Rebecca_Downie,1,individual
DUNKEL Nils,artistic-gymnastics,Nils_Dunkel,2,individual
EDER Timo,artistic-gymnastics,Timo_Eder,6,individual
EMARD William,artistic-gymnastics,William_Emard,3,individual
ERGASHEV Khabibullo,artistic-gymnastics,Khabibullo_Ergashev,5,individual
ESCALERA Natalia,artistic-gymnastics,Natalia_Escalera,7,individual
ESPOSITO Manila,artistic-gymnastics,Manila_Esposito,11,individual
EVANS Ruby,artistic-gymnastics,Ruby_Evans,3,individual
FENTON Georgia-Mae,artistic-gymnastics,Georgia-Mae_Fenton,11,individual
FINNEGAN Aleah,artistic-gymnastics,Aleah_Finnegan,1,individual
FRASER Joe,artistic-gymnastics,Joe_Fraser,12,individual
GEORGIEVA Valentina,artistic-gymnastics,Valentina_Georgieva,7,individual
GEORGIOU Marios,artistic-gymnastics,Marios_Georgiou,11,individual
GHIGOARTA Amalia,artistic-gymnastics,Amalia_Ghigoarta,1,individual
GIUBELLINI Luca,artistic-gymnastics,Luca_Giubellini,4,individual
GIUBELLINI Matteo,artistic-gymnastics,Matteo_Giubellini,11,individual
GRUENBERG Jermain,artistic-gymnastics,Jermain_Gruenberg,9,individual
HASHIMOTO Daiki,artistic-gymnastics,Daiki_Hashimoto,8,individual
HEPWORTH Harry,artistic-gymnastics,Harry_Hepworth,12,individual
HERON Hillary,artistic-gymnastics,Hillary_Heron,1,individual
HONG Asher,artistic-gymnastics,Asher_Hong,3,individual
HRIBAR Lucija,artistic-gymnastics,Lucija_Hribar,10,individual
IORIO Elisa,artistic-gymnastics,Elisa_Iorio,3,individual
IRFANALUTHFI Rifda,artistic-gymnastics,Rifda_Irfanaluthfi,10,individual
JARMAN Jake,artistic-gymnastics,Jake_Jarman,12,individual
JUDA Paul,artistic-gymnastics,Paul_Juda,7,individual
KARIMI Milad,artistic-gymnastics,Milad_Karimi,6,individual
KAYA Kazuma,artistic-gymnastics,Kazuma_Kaya,11,individual
KEVRIC Helen,artistic-gymnastics,Helen_Kevric,3,individual
KINSELLA Alice,artistic-gymnastics,Alice_Kinsella,3,individual
KISHI Rina,artistic-gymnastics,Rina_Kishi,9,individual
KOVTUN Illia,artistic-gymnastics,Illia_Kovtun,8,individual
KUAVITA Noah,artistic-gymnastics,Noah_Kuavita,7,individual
KURBANOV Nariman,artistic-gymnastics,Nariman_Kurbanov,12,individual
LANGENEGGER Florian,artistic-gymnastics,Florian_Langenegger,3,individual
LASHCHEVSKA Anna,artistic-gymnastics,Anna_Lashchevska,11,individual
LEE Cassandra,artistic-gymnastics,Cassandra_Lee,4,individual
LEE Junho,artistic-gymnastics,Junho_Lee,1,individual
LEE Sunisa,artistic-gymnastics,Sunisa_Lee,3,individual
MACCHIATI Mario,artistic-gymnastics,Mario_Macchiati,11,individual
MACCHINI Carlo,artistic-gymnastics,Carlo_Macchini,5,individual
MAHMOUD Jana,artistic-gymnastics,Jana_Mahmoud,8,individual
MALABUYO Emma,artistic-gymnastics,Emma_Malabuyo,11,individual
MALONE Brody,artistic-gymnastics,Brody_Malone,1,individual
MANECA-VOINEA Sabrina,artistic-gymnastics,Sabrina_Maneca-Voinea,6,individual
MARIANO Arthur,artistic-gymnastics,Arthur_Mariano,9,individual
MESZAROS Krisztofer,artistic-gymnastics,Krisztofer_Meszaros,9,individual
MIR Nicolau,artistic-gymnastics,Nicolau_Mir,5,individual
MOERZ Charlize,artistic-gymnastics,Charlize_Moerz,10,individual
MOHAMED Omar,artistic-gymnastics,Omar_Mohamed,5,individual
MOORE Jesse,artistic-gymnastics,Jesse_Moore,4,individual
MORENO Alexa,artistic-gymnastics,Alexa_Moreno,8,individual
NAJJAR Lais,artistic-gymnastics,Lais_Najjar,10,individual
NAKAMURA Haruka,artistic-gymnastics,Haruka_Nakamura,5,individual
NEDOROSCIK Stephen,artistic-gymnastics,Stephen_Nedoroscik,10,individual
NEDOV Emma,artistic-gymnastics,Emma_Nedov,3,individual
NEMOUR Kaylia,artistic-gymnastics,Kaylia_Nemour,12,individual
NIN REYES Audrys,artistic-gymnastics,Audrys_Nin_Reyes,1,individual
OKA Shinnosuke,artistic-gymnastics,Shinnosuke_Oka,10,individual
OKAMURA Mana,artistic-gymnastics,Mana_Okamura,5,individual
OLFATI Mahdi,artistic-gymnastics,Mahdi_Olfati,3,individual
OLIVEIRA Lorrane,artistic-gymnastics,Lorrane_Oliveira,4,individual
OLSEN Shallon,artistic-gymnastics,Shallon_Olsen,7,individual
ONDER Ahmet,artistic-gymnastics,Ahmet_Onder,7,individual
OSYSSEK-REIMER Morgane,artistic-gymnastics,Morgane_Osyssek-Reimer,12,individual
PASS Ruby,artistic-gymnastics,Ruby_Pass,5,individual
PENEV Kevin,artistic-gymnastics,Kevin_Penev,3,individual
PETISCO Alba,artistic-gymnastics,Alba_Petisco,2,individual
PETROUNIAS Eleftherios,artistic-gymnastics,Eleftherios_Petrounias,11,individual
PLATA Joel,artistic-gymnastics,Joel_Plata,3,individual
PREDA Andreea,artistic-gymnastics,Andreea_Preda,5,individual
RADIVILOV Igor,artistic-gymnastics,Igor_Radivilov,10,individual
RAZ Lihie,artistic-gymnastics,Lihie_Raz,9,individual
RICHARD Frederick,artistic-gymnastics,Frederick_Richard,4,individual
RIJKEN Frank,artistic-gymnastics,Frank_Rijken,11,individual
RIVERA Hezly,artistic-gymnastics,Hezly_Rivera,6,individual
ROOSKRANTZ Caitlin,artistic-gymnastics,Caitlin_Rooskrantz,11,individual
RUIVIVAR Levi,artistic-gymnastics,Levi_Ruivivar,5,individual
SANDOVAL Ahtziri,artistic-gymnastics,Ahtziri_Sandoval,10,individual
SARAIVA Flavia,artistic-gymnastics,Flavia_Saraiva,9,individual
SCHAEFER-BETZ Pauline,artistic-gymnastics,Pauline_Schaefer-Betz,1,individual
SCHMIDT Casimir,artistic-gymnastics,Casimir_Schmidt,10,individual
SCOTT Breanna,artistic-gymnastics,Breanna_Scott,12,individual
SEIFERT Noe,artistic-gymnastics,Noe_Seifert,10,individual
SHEK Wai Hung,artistic-gymnastics,Wai_Hung_Shek,10,individual
SHIN Solyi,artistic-gymnastics,Solyi_Shin,7,individual
SOARES Julia,artistic-gymnastics,Julia_Soares,8,individual
SRBIC Tin,artistic-gymnastics,Tin_Srbic,9,individual
STELMAKH Radomyr,artistic-gymnastics,Radomyr_Stelmakh,8,individual
STEWART Ava,artistic-gymnastics,Ava_Stewart,9,individual
SUGINO Takaaki,artistic-gymnastics,Takaaki_Sugino,10,individual
SZEKELY Zoja,artistic-gymnastics,Zoja_Szekely,5,individual
TANIGAWA Wataru,artistic-gymnastics,Wataru_Tanigawa,7,individual
TOBA Andreas,artistic-gymnastics,Andreas_Toba,10,individual
TRAN Aurelie,artistic-gymnastics,Aurelie_Tran,5,individual
TVOROGAL Robert,artistic-gymnastics,Robert_Tvorogal,10,individual
USHIOKU Kohane,artistic-gymnastics,Kohane_Ushioku,8,individual
van den KEYBUS Luka,artistic-gymnastics,Luka_Van_Den_Keybus,4,individual
van EIJKEN Ming,artistic-gymnastics,Ming_Van_Eijken,4,individual
VEERMAN Sanna,artistic-gymnastics,Sanna_Veerman,1,individual
VERNIAIEV Oleg,artistic-gymnastics,Oleg_Verniaiev,9,individual
VILLA Giorgia,artistic-gymnastics,Giorgia_Villa,2,individual
VISSER Naomi,artistic-gymnastics,Naomi_Visser,8,individual
VOLLEMAN Tisha,artistic-gymnastics,Tisha_Volleman,10,individual
VOSS Sarah,artistic-gymnastics,Sarah_Voss,10,individual
WEVERS Lieke,artistic-gymnastics,Lieke_Wevers,9,individual
WEVERS Sanne,artistic-gymnastics,Sanne_Wevers,9,individual
WHITEHEAD Emily,artistic-gymnastics,Emily_Whitehead,12,individual
WHITEHOUSE Luke,artistic-gymnastics,Luke_Whitehouse,7,individual
WHITLOCK Max,artistic-gymnastics,Max_Whitlock,1,individual
YULO Carlos Edriel,artistic-gymnastics,Carlos_Edriel_Yulo,2,individual
ZAKUTNEY Samuel,artistic-gymnastics,Samuel_Zakutney,10,individual
ZAPATA Rayderley,artistic-gymnastics,Rayderley_Zapata,5,individual
ZHOU Yaqin,artistic-gymnastics,Yaqin_Zhou,11,individual
AARONSON Paxten,football,Paxten_Aaronson,8,team
ABADA Liel,football,Liel_Abada,10,team
ABELLEIRA Teresa,football,Teresa_Abelleira,1,team
ABIODUN Deborah,football,Deborah_Abiodun,11,team
AJIBADE Rasheedat,football,Rasheedat_Ajibade,12,team
AKHOMACH Ilias,football,Ilias_Akhomach,4,team
AKLIOUCHE Maghnes,football,Maghnes_Akliouche,2,team
ALBERT Korbin,football,Korbin_Albert,10,team
ALEIXANDRI Laia,football,Laia_Aleixandri,8,team
ALIKULOV Khusniddin,football,Khusniddin_Alikulov,4,team
ALMADA Thiago,football,Thiago_Almada,4,team
ALOZIE Michelle,football,Michelle_Alozie,4,team
ALVAREZ Julian,football,Julian_Alvarez,1,team
AMIONE Bruno,football,Bruno_Amione,1,team
ANYOMI Nicole,football,Nicole_Anyomi,2,team
ARAKI Ryotaro,football,Ryotaro_Araki,1,team
ARIAS Carolina,football,Carolina_Arias,9,team
ARIAS Daniela,football,Daniela_Arias,8,team
ARNOLD Mackenzie,football,Mackenzie_Arnold,2,team
ATENCIO Josh,football,Josh_Atencio,1,team
AWUJO Simi,football,Simi_Awujo,9,team
AZCONA Edison,football,Edison_Azcona,11,team
BACHA Selma,football,Selma_Bacha,11,team
BADE Loic,football,Loic_Bade,4,team
BAH Algassime,football,Algassime_Bah,11,team
BALBUENA Fabian,football,Fabian_Balbuena,8,team
BALDE Aliou,football,Aliou_Balde,12,team
BALTIMORE Sandy,football,Sandy_Baltimore,2,team
BANDA Barbra,football,Barbra_Banda,3,team
BARRY Mackenzie,football,Mackenzie_Barry,4,team
BATLLE Ona,football,Ona_Batlle,6,team
BAYLISS Lachlan,football,Lachlan_Bayliss,7,team
BECHO Vicki,football,Vicki_Becho,10,team
BECKIE Janine,football,Janine_Beckie,8,team
BEN SEGHIR Eliesse,football,Eliesse_Ben_Seghir,2,team
BERGER Ann-Katrin,football,Ann-Katrin_Berger,10,team
BERNABE Adrian,football,Adrian_Bernabe,5,team
BETHUNE Croix,football,Croix_Bethune,3,team
BINDON Tyler,football,Tyler_Bindon,1,team
BONMATI Aitana,football,Aitana_Bonmati,1,team
BOUCHOUARI Benjamin,football,Benjamin_Bouchouari,11,team
BOUKAMIR Mehdi,football,Mehdi_Boukamir,1,team
BOWEN Katie,football,Katie_Bowen,4,team
BOXALL Michael,football,Michael_Boxall,8,team
BRAHARU Maksym,football,Maksym_Braharu,7,team
BRAND Jule,football,Jule_Brand,10,team
BREY Leandro,football,Leandro_Brey,9,team
BUCHANAN Kadeisha,football,Kadeisha_Buchanan,11,team
BURIEV Abdurauf,football,Abdurauf_Buriev,7,team
BUSIO Gianluca,football,Gianluca_Busio,5,team
CABALLERO Gustavo,football,Gustavo_Caballero,9,team
CAICEDO Linda,football,Linda_Caicedo,2,team
CALDENTEY Mariona,football,Mariona_Caldentey,3,team
CAMARA Issiaga,football,Issiaga_Camara,7,team
CAMELLO Sergio,football,Sergio_Camello,2,team
CARACAS Daniela,football,Daniela_Caracas,4,team
CARLE Gabrielle,football,Gabrielle_Carle,10,team
CARMONA Olga,football,Olga_Carmona,6,team
CARPENTER Ellie,football,Ellie_Carpenter,4,team
CASCARINO Delphine,football,Delphine_Cascarino,2,team
CASCARINO Estelle,football,Estelle_Cascarino,2,team
CATLEY Steph,football,Steph_Catley,1,team
CHANDA Grace,football,Grace_Chanda,6,team
CHANDA Hellen,football,Hellen_Chanda,6,team
CHERKI Rayan,football,Rayan_Cherki,8,team
CHIBA Remina,football,Remina_Chiba,4,team
CHILESHE Rhoda,football,Rhoda_Chileshe,5,team
CHILUFYA Prisca,football,Prisca_Chilufya,6,team
CHITUNDU Avell,football,Avell_Chitundu,7,team
CHOTARD Joris,football,Joris_Chotard,9,team
CISSE Ibrahima,football,Ibrahima_Cisse,2,team
CLEGG Milly,football,Milly_Clegg,11,team
CODINA Laia,football,Laia_Codina,1,team
COFFEY Samantha,football,Samantha_Coffey,12,team
COLL Cata,football,Cata_Coll,4,team
CONCHIE Fin,football,Fin_Conchie,8,team
COONEY-CROSS Kyra,football,Kyra_Cooney-Cross,2,team
CREMASCHI Benjamin,football,Benjamin_Cremaschi,3,team
CUBARSI Pau,football,Pau_Cubarsi,1,team
D'ANGELO Sabrina,football,Sabrina_D'Angelo,5,team
DALI Kenza,football,Kenza_Dali,7,team
DAVIDA Osher,football,Osher_Davida,2,team
DAVIDSON Tierna,football,Tierna_Davidson,9,team
de ALMEIDA Elisa,football,Elisa_De_Almeida,1,team
de la CRUZ Omar,football,Omar_De_La_Cruz,11,team
de LEON Jose,football,Jose_De_Leon,8,team
DEMEHIN Blessing,football,Blessing_Demehin,3,team
di CESARE Marco,football,Marco_Di_Cesare,1,team
